iter	AUC	Logloss
0	0.7441900373	0.6609341637
1	0.7759802341	0.6378302492
2	0.8236443102	0.5949800844
3	0.8433207273	0.5635150079
4	0.8485694528	0.5430710391
5	0.8510201573	0.5270181315
6	0.8586410284	0.5128922615
7	0.8603882194	0.503559065
8	0.8712033629	0.4870085564
9	0.873529315	0.4751946808
10	0.8750221431	0.4685120378
11	0.8767009676	0.463767703
12	0.878526628	0.4583770255
13	0.8794291317	0.4539545003
14	0.8808510602	0.4501658263
15	0.8813489974	0.4473915144
16	0.8829029202	0.4434788315
17	0.883292377	0.4416676315
18	0.8841071129	0.4386610181
19	0.8843859732	0.4361835324
20	0.8848123252	0.4341759719
21	0.8854375482	0.4322427041
22	0.8860022426	0.4308978915
23	0.8865282834	0.429567856
24	0.886705488	0.4286935948
25	0.8871396482	0.4275616418
26	0.8874989152	0.4269249103
27	0.8878209293	0.4261559988
28	0.8880994022	0.4252586013
29	0.8885811567	0.4240568952
30	0.8887917399	0.4234458672
31	0.8893256783	0.4221790729
32	0.8897567987	0.4209627462
33	0.8902428448	0.4194519727
34	0.8905390799	0.4187061973
35	0.8907950819	0.4180191861
36	0.8910341263	0.4174939406
37	0.891302675	0.4168631263
38	0.891567409	0.4158694897
39	0.891741097	0.4153924577
