iter	Passed	Remaining
0	107	4200
1	198	3778
2	278	3431
3	361	3249
4	442	3097
5	515	2921
6	583	2752
7	641	2567
8	708	2442
9	772	2318
10	845	2229
11	905	2113
12	962	1999
13	1022	1898
14	1079	1798
15	1145	1717
16	1213	1641
17	1277	1561
18	1340	1481
19	1400	1400
20	1457	1318
21	1521	1245
22	1582	1169
23	1642	1094
24	1705	1023
25	1773	955
26	1842	887
27	1911	819
28	1973	748
29	2039	679
30	2094	608
31	2158	539
32	2213	469
33	2276	401
34	2337	333
35	2397	266
36	2463	199
37	2529	133
38	2601	66
39	2671	0
