iter	AUC	Logloss
0	0.8328739405	0.6059774474
1	0.8329203427	0.559527676
2	0.8517017066	0.5356919477
3	0.8686768711	0.5134096713
4	0.8698661327	0.4884476208
5	0.8740700781	0.4776980624
6	0.9043450356	0.4394331308
7	0.9092336297	0.4184125819
8	0.9121204615	0.4025374059
9	0.9157365561	0.3930453172
10	0.917136848	0.3869564273
11	0.9184990227	0.381575277
12	0.9198760092	0.377128095
13	0.9205764532	0.3716316388
14	0.9216568172	0.3679916607
15	0.9219829142	0.3661394404
16	0.9225507975	0.3641613949
17	0.9230502844	0.3618885884
18	0.9233546853	0.3591540574
19	0.9238683879	0.3571596067
20	0.9243457615	0.3557361127
21	0.9247665107	0.3542629023
22	0.9249119461	0.352729143
23	0.9251815379	0.352092409
24	0.9254929721	0.3509782655
25	0.9258149564	0.3499838735
26	0.9261014462	0.3493465133
27	0.926286459	0.3487924001
28	0.9264875054	0.3482096718
29	0.9267261624	0.3471100236
